GameID,PlayedID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Present,ADR,HS_Present,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60729,3004,AlphaFly,Ex-D,skye,123,8,15,5,-7,0.71,75,0.3,1,6,-5,2,0,0,0,0,0,0,0,0,28,0,0
60729,14388,konoxians,Ex-D,chamber,106,4,16,2,-12,0.41,87,0.15,1,1,0,0,0,0,0,0,0,0,0,0,39,0,0
60730,6463,bazix,Guns,skye,264,24,18,5,6,0.75,182,0.36,4,4,0,6,2,0,0,3,0,0,0,0,74,0,2
60730,1543,Flippsy,Guns,astra,231,20,18,6,2,0.71,151,0.34,1,1,0,4,1,0,0,0,0,0,0,0,58,1,0
60730,3884,Complex,Guns,raze,185,14,17,6,-3,0.83,123,0.21,2,2,0,3,0,0,0,0,0,0,0,0,54,1,1
60730,15440,Storax,Guns,sova,180,15,17,6,-2,0.67,133,0.35,2,3,-1,3,0,0,0,0,0,0,0,0,53,1,2
60730,4399,Stealthy,Guns,viper,118,10,18,4,-8,0.63,88,0.37,1,4,-3,1,1,0,0,1,0,0,0,0,36,0,0
60730,2119,renz,C9A,skye,265,23,16,4,7,0.79,174,0.6,3,1,2,3,3,0,0,0,0,0,0,0,68,2,0
60730,6464,poiz,C9A,jett,220,18,18,4,0,0.67,149,0.27,3,5,-2,3,1,1,0,0,0,0,0,0,61,0,0
60730,3138,instinct,C9A,sova,213,20,14,4,6,0.83,134,0.36,4,0,4,3,1,0,0,0,0,0,0,0,54,0,1
60730,21433,erkaSt,C9A,viper,168,15,18,5,-3,0.71,117,0.27,1,2,-1,1,0,0,0,0,0,0,0,0,45,4,0
60730,8286,GLYPH,C9A,astra,140,12,17,7,-5,0.71,96,0.27,3,2,1,2,1,0,0,0,0,0,0,0,36,1,0
60733,18850,demon,ASP,jett,266,24,14,3,10,0.75,154,0.22,5,2,3,6,2,0,0,1,1,0,0,0,58,0,1
60733,21591,laddermoves,ASP,viper,223,19,19,5,0,0.63,137,0.16,2,2,0,1,1,1,0,0,0,0,0,0,45,0,0
60733,13084,smiley,ASP,skye,193,16,17,5,-1,0.75,126,0.23,3,1,2,3,1,0,0,0,0,0,0,0,48,2,0
60733,9049,ARES,ASP,sova,159,13,15,9,-2,0.67,116,0.25,1,6,-5,1,1,0,0,0,0,0,0,0,47,3,1
60733,21669,dino,ASP,astra,146,11,17,9,-6,0.71,115,0.29,1,1,0,1,0,0,0,0,0,0,0,0,45,3,0
60733,5188,Apoth,RNG,astra,246,22,18,4,4,0.75,156,0.34,3,1,2,5,0,0,0,0,0,0,0,0,58,1,0
60733,146,randyySAVAGE,RNG,viper,212,19,16,3,3,0.71,145,0.16,0,3,-3,3,2,0,0,0,0,0,0,0,55,1,0
60733,5190,Lin,RNG,jett,179,14,18,3,-4,0.63,112,0.1,6,5,1,2,1,0,0,0,0,0,0,0,50,0,0
60733,68,Stronglegs,RNG,skye,178,15,15,3,0,0.75,116,0.32,2,0,2,2,0,1,0,0,0,0,0,0,50,4,0
60733,893,RetrQ,RNG,sova,138,12,16,5,-4,0.63,98,0.26,1,3,-2,2,0,0,0,0,0,0,0,0,42,1,2
60734,8419,Reduxx,ex-FB,jett,278,19,14,10,5,0.75,195,0.29,4,4,0,2,2,0,0,0,1,0,0,0,81,0,1
60734,865,Nurfed,ex-FB,viper,233,17,12,3,5,0.7,142,0.22,1,2,-1,2,3,0,0,0,0,1,0,0,60,4,1
60734,2450,Rustun,ex-FB,cypher,204,16,15,4,1,0.65,137,0.27,0,1,-1,5,0,0,0,0,0,0,0,0,52,0,0
